ids age ageSds position thickness distType
CV-13 17.634 0.016 48.25 3.125 G
CV-13 17.629 0.025 48.25 3.125 G
CV-13 17.603 0.029 48.25 3.125 G
CV-13 17.599 0.019 48.25 3.125 G
CV-13 17.592 0.020 48.25 3.125 G
1CO 17.119 0.113 84.5 2.5 G
1CO 17.119 0.113 84.5 2.5 G
1CO 17.180 0.133 84.5 2.5 G
1CO 17.240 0.103 84.5 2.5 G
1CO 17.351 0.104 84.5 2.5 G
1CO 17.401 0.123 84.5 2.5 G
1CO 17.431 0.113 84.5 2.5 G
1CO 17.492 0.123 84.5 2.5 G
1CO 17.613 0.133 84.5 2.5 G
KARG-15-08 17.118 0.155 151.5 1.8 G
KARG-15-08 17.040 0.022 151.5 1.8 G
KARG-15-08 17.032 0.039 151.5 1.8 G
KARG-15-08 17.024 0.224 151.5 1.8 G
KARG-15-08 17.020 0.015 151.5 1.8 G
KARG-15-08 17.009 0.031 151.5 1.8 G
KARG-15-08 16.989 0.089 151.5 1.8 G
KARG-15-08 16.972 0.099 151.5 1.8 G
KARG-15-08 16.969 0.041 151.5 1.8 G
KARG-15-08 16.942 0.041 151.5 1.8 G
KARG-15-08 16.929 0.041 151.5 1.8 G
KARG-15-08 16.922 0.087 151.5 1.8 G
KARG-15-09 17.028 0.032 151.5 1.8 G
KARG-15-09 16.997 0.023 151.5 1.8 G
KARG-15-01 16.854 0.012 161 0 G
KARG-15-01 16.850 0.014 161 0 G
KARG-15-01 16.849 0.016 161 0 G
KARG-15-01 16.846 0.021 161 0 G
KARG-15-01 16.836 0.015 161 0 G
Toba-Blanca 16.883 0.018 175 0 G
Toba-Blanca 16.859 0.038 175 0 G
Toba-Blanca 16.823 0.030 175 0 G
CV-10 16.877 0.029 179 0 G
CV-10 16.833 0.025 179 0 G
CV-10 16.760 0.034 179 0 G
CV-10 16.751 0.057 179 0 G
1CO3 16.397 0.088 193.5 1.5 G
1CO3 16.468 0.098 193.5 1.5 G
1CO3 16.601 0.086 193.5 1.5 G
1CO3 16.644 0.081 193.5 1.5 G
1CO3 16.656 0.083 193.5 1.5 G
1CO3 16.667 0.113 193.5 1.5 G
1CO3 16.678 0.079 193.5 1.5 G
1CO3 16.685 0.082 193.5 1.5 G
